Código Nacional|Nombre Estación|Comuna|Región|Latitud|Longitud|Organismo|Datos Desde|Datos Hasta
370071|Mulchén, Negrete|Mulchén|Del Biobío|-37.595277|-72.466666|Fundación para el Desarrollo Frutícola|2020|2023
370072|Mulchén|Mulchén|Del Biobío|-37.703611|-72.216943|Fundación para el Desarrollo Frutícola|2020|2023
370073|Renaico|Renaico|De La Araucanía|-37.72611|-72.604722|Fundación para el Desarrollo Frutícola|2020|2023
370074|Las Puentes|Arauco|Del Biobío|-37.305|-73.436666|Instituto de Investigación Agropecuaria|2020|2022
370075|El Vergel|Angol|De La Araucanía|-37.827777|-72.659722|Instituto de Investigación Agropecuaria|2020|2023
380004|Isla Mocha|Lebu|Del Biobío|-38.375832|-73.870832|Armada de Chile|2020|2023
380009|Carillanca I.N.I.A.|Vilcún|De La Araucanía|-38.693055|-72.417221|Instituto de Investigación Agropecuaria|2020|2023
380013|Maquehue, Temuco Ad.|Temuco|De La Araucanía|-38.767777|-72.631943|Dirección Meteorológica de Chile|1941|2023
380018|Lonquimay|Lonquimay|De La Araucanía|-38.455|-71.361944|Dirección Meteorológica de Chile|2014|2023
380029|La Araucanía Ad.|Temuco|De La Araucanía|-38.934444|-72.653333|Dirección Meteorológica de Chile|2014|2023
380032|Rucamanque-UFRO|Temuco|De La Araucanía|-38.660833|-72.605555|Dirección Meteorológica de Chile|2016|2023
380033|Maquehue-UFRO|Temuco|De La Araucanía|-38.837777|-72.694444|Dirección Meteorológica de Chile|2015|2023
380034|La Isla|Purén|De La Araucanía|-38.029999|-72.981943|Instituto de Investigación Agropecuaria|2019|2023
380035|Surco y Semilla|Collipulli|De La Araucanía|-38.032499|-72.285277|Instituto de Investigación Agropecuaria|2019|2023
380041|Las Palmas|Victoria|De La Araucanía|-38.227777|-72.273332|Instituto de Investigación Agropecuaria|2019|2023
380042|Ponotro|Tirúa|Del Biobío|-38.275277|-73.49861|Instituto de Investigación Agropecuaria|2019|2023
380043|La Providencia|Traiguén|De La Araucanía|-38.291944|-72.611388|Instituto de Investigación Agropecuaria|2019|2023
380044|San Luis|Curacautín|De La Araucanía|-38.401666|-71.9025|Instituto de Investigación Agropecuaria|2019|2022
380046|San Fabián|Galvarino|De La Araucanía|-38.446388|-72.849444|Instituto de Investigación Agropecuaria|2019|2023
